name,rate,priority,class_type,zip_postal_code,status
AK - (WASILLA),2.5,0,zip-postal-code,99687,active
AK - (MATANUSKA-SUSITNA BRG),0,0,zip-postal-code,99688,active
AK - (YAKUTAT),5,0,zip-postal-code,99689,active
AK - (NIGHTMUTE),2,0,zip-postal-code,99690,active
AK - (NIKOLAI),0,0,zip-postal-code,99691,active
AK - (UNALASKA),3,0,zip-postal-code,99692,active
AK - (WHITTIER),0,0,zip-postal-code,99693,active
AK - (HOUSTON),2,0,zip-postal-code,99694,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99695,active
AK - (KODIAK),7,0,zip-postal-code,99697,active
AK - (FORT WAINWRIGHT),0,0,zip-postal-code,99701,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99702,active
AK - (FORT WAINWRIGHT),0,0,zip-postal-code,99703,active
AK - (CLEAR AIR FORCE BASE),0,0,zip-postal-code,99704,active
AK - (NORTH POLE),5.5,0,zip-postal-code,99705,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99706,active
AK - (FAIRBANKS),0,0,zip-postal-code,99707,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99708,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99709,active
AK - (FAIRBANKS),0,0,zip-postal-code,99710,active
AK - (FAIRBANKS),0,0,zip-postal-code,99711,active
AK - (FAIRBANKS),0,0,zip-postal-code,99712,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99714,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99716,active
AK - (ALLAKAKET),0,0,zip-postal-code,99720,active
AK - (ANAKTUVUK PASS),0,0,zip-postal-code,99721,active
AK - (ALASKA),0,0,zip-postal-code,99722,active
AK - (UTQIAGVIK),0,0,zip-postal-code,99723,active
AK - (ALASKA),0,0,zip-postal-code,99724,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99725,active
AK - (BETTLES),0,0,zip-postal-code,99726,active
AK - (BUCKLAND),6,0,zip-postal-code,99727,active
AK - (DENALI BOROUGH),0,0,zip-postal-code,99729,active
AK - (ALASKA),0,0,zip-postal-code,99730,active
AK - (ALASKA),0,0,zip-postal-code,99731,active
AK - (ALASKA),0,0,zip-postal-code,99732,active
AK - (ALASKA),0,0,zip-postal-code,99733,active
AK - (NORTH SLOPE BOROUGH),0,0,zip-postal-code,99734,active
AK - (DEERING),3,0,zip-postal-code,99736,active
AK - (DELTA JUNCTION),0,0,zip-postal-code,99737,active
AK - (EAGLE),0,0,zip-postal-code,99738,active
AK - (ELIM),3,0,zip-postal-code,99739,active
AK - (FORT YUKON),3,0,zip-postal-code,99740,active
AK - (GALENA),3,0,zip-postal-code,99741,active
AK - (GAMBELL),3,0,zip-postal-code,99742,active
AK - (DENALI BOROUGH),0,0,zip-postal-code,99743,active
AK - (ANDERSON),0,0,zip-postal-code,99744,active
AK - (HUGHES),0,0,zip-postal-code,99745,active
AK - (HUSLIA),0,0,zip-postal-code,99746,active
AK - (KAKTOVIK),0,0,zip-postal-code,99747,active
AK - (KALTAG),0,0,zip-postal-code,99748,active
AK - (KIANA),3,0,zip-postal-code,99749,active
AK - (KIVALINA),2,0,zip-postal-code,99750,active
AK - (KOBUK),3,0,zip-postal-code,99751,active
AK - (KOTZEBUE),6,0,zip-postal-code,99752,active
AK - (KOYUK),3,0,zip-postal-code,99753,active
AK - (KOYUKUK),0,0,zip-postal-code,99754,active
AK - (DENALI BOROUGH),0,0,zip-postal-code,99755,active
AK - (ALASKA),0,0,zip-postal-code,99756,active
AK - (ALASKA),0,0,zip-postal-code,99757,active
AK - (ALASKA),0,0,zip-postal-code,99758,active
AK - (NORTH SLOPE BOROUGH),0,0,zip-postal-code,99759,active
AK - (NENANA),4,0,zip-postal-code,99760,active
AK - (NORTHWEST ARCTIC BRG),0,0,zip-postal-code,99761,active
AK - (NOME),5,0,zip-postal-code,99762,active
AK - (NOORVIK),4,0,zip-postal-code,99763,active
AK - (ALASKA),0,0,zip-postal-code,99764,active
AK - (NULATO),0,0,zip-postal-code,99765,active
AK - (POINT HOPE),3,0,zip-postal-code,99766,active
AK - (ALASKA),0,0,zip-postal-code,99767,active
AK - (RUBY),0,0,zip-postal-code,99768,active
AK - (SAVOONGA),4,0,zip-postal-code,99769,active
AK - (SELAWIK),6.5,0,zip-postal-code,99770,active
AK - (SHAKTOOLIK),4,0,zip-postal-code,99771,active
AK - (SHISHMAREF),3,0,zip-postal-code,99772,active
AK - (SHUNGNAK),2,0,zip-postal-code,99773,active
AK - (ALASKA),0,0,zip-postal-code,99774,active
AK - (FAIRBANKS N STAR BRG),0,0,zip-postal-code,99775,active
AK - (ALASKA),0,0,zip-postal-code,99776,active
AK - (TANANA),2,0,zip-postal-code,99777,active
